Variants,First Flight,Range (km),Length(m),Height(m),Passengers,Cost,Ordered,Delivered
777-200,"June 12, 1994",9700,64,18.5,305,261500000,88,88
777-200ER,"October 7, 1996","13,084",64,18.5,314,306600000,422,422
777-200LR,"March 8, 2005","15,844",63.7,18.6,317,346900000,61,61
777-300,"October 16,1997","11,121",74,18.5,368,279000000,60,60
777-300ER,"February 24, 2003","13,650",73.9,18.5,396,375500000,838,829
777-F,"October 14, 1990","9,750",64,18.6,-,352300000,280,215
777-X,"January 25, 2020","13,500",77,20,426,442200000,320,-
